Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
TechRaking 5ish: Bootstrapping the news (Sponsored by The Center for Investigative Reporting),2014-02-26,1:00:00 p.m.,2014-02-26,5:00:00 p.m.,False,"Speakers: Agustin Armendariz, Michael Corey, Aaron Williams - Emcees: Agustin Armendariz, Michael Corey, Aaron Williams",Chesapeake,False
Detecting corporate fraud (Sponsored by Donald W. Reynolds National Center for Business Journalism),2014-02-26,2:00:00 p.m.,2014-02-26,5:00:00 p.m.,False,"Speakers: Roddy Boyd, Theo Francis - The Donald W. Reynolds National Center for Business Journalism will offer a free pre-conference workshop from 2-5 p.m. on Wednesday, Feb. 26. In this free workshop, journalists will learn techniques for digging &ndash; with an eye for fraud &ndash; into U.S. Securities and Exchange Commission filings and other disclosures. Instead of spending weeks scouring aimlessly through hundreds of pages of corporate documents, reporters will gain an understanding of what key financial information is available, where to look in the documents to quickly identify trouble spots and how to recognize when crucial details are missing.",Salon DEF,False
CAR Conference Registration (Wednesday),2014-02-26,2:00:00 p.m.,2014-02-26,5:00:00 p.m.,False,Registration will be located on the 1st floor of the Baltimore Marriott Inner Harbor in University Ballroom.,University Ballroom,False
CAR Conference Registration (Thursday),2014-02-27,7:30 a.m.,2014-02-27,5:00:00 p.m.,False,Registration will be located on the 1st floor of the Baltimore Marriott Inner Harbor in University Ballroom.,University Ballroom,False
CAR Conference Sales (Thursday),2014-02-27,7:30 a.m.,2014-02-27,5:00:00 p.m.,False,"Stop by the IRE sales table and take a look at our merchandise. We will be selling books, the large selection of titles we carry will certainly include your interests. The winner of the IRE T-shirt contest will be displayed and on sale.&nbsp;",University Ballroom,False
Welcome and overview of the conference,2014-02-27,8:30 a.m.,2014-02-27,8:50 a.m.,False,"Speakers: Jaimi Dowdell, Mark Horvit, Megan Luther - Welcome to the conference! IRE staff will highlight key sessions and events that you won't want to miss while in Baltimore. We'll also give you a brief rundown on some of the resources IRE has to offer.",Grand Ballroom West,False
Tableau Public for beginners (Hosted by Tableau),2014-02-27,9:00:00 a.m.,2014-02-27,12:30 p.m.,False,"Speakers: Jewel Loree - Learn how to create beautiful, interactive data visualizations on short deadlines. No programming required. You'll learn everything you need to build data visualizations and publish them to your website just like a video. We'll teach you how to: Connect to Excel files and other data, create maps and charts, format them beautifully and make them interactive.",Stadium 1,False
NewsCamp::The next generation of data viz,2014-02-27,9:00:00 a.m.,2014-02-27,9:50 a.m.,False,Speakers: Alberto Cairo,Grand Ballroom East,False
Getting started: Controlling CAR conference overload,2014-02-27,9:00:00 a.m.,2014-02-27,9:50 p.m.,False,"Speakers: Megan Luther, Tisha Thompson, Helena Bengtsson - Are you new to data journalism or does this happen to be your first time at a CAR conference? Is it time to up your game but you're not sure how to take the next step? If so, this session will help you get on track to make sure that you get the best experience possible from the 2014 CAR Conference. We'll highlight sessions and give you tips for success during and after the conference.",Grand Ballroom West,False
Getting started with open-source database manager MySQL,2014-02-27,9:00:00 a.m.,2014-02-27,9:50 a.m.,False,"Speakers: Liz Lucas, Chase Davis",Stadium 3,False
PyCAR Mini Boot Camp,2014-02-27,9:00:00 a.m.,2014-02-27,4:50 p.m.,False,"Speakers: Heather Billings, Tom Meagher, Eric Sagara - Introduction to Python",See printed schedule for room information,False
Mapping Mini Boot Camp,2014-02-27,9:00:00 a.m.,2014-02-27,4:50 p.m.,False,"Speakers: Jennifer LaFleur, David Herzog, Robby Deming, Clem Henriksen, Brian Peterson - Learn how to uncover interesting news stories by mapping data with geographic information system (GIS) software during our intensive mini-boot camp and receive a free copy of ArcGIS Desktop*.",Stadium 2,False
This just in: Data for breaking news investigations,2014-02-27,9:00:00 a.m.,2014-02-27,9:50 a.m.,False,"Speakers: Justin Fenton, Chris Keller, Jaimi Dowdell - **Moderated by Jaimi Dowdell, IRE/NICAR",Salon BC,False
Amazon Cloud Basics,2014-02-27,9:00:00 a.m.,2014-02-27,9:50 a.m.,False,"Speakers: Scott Klein - Cloud servers are an amazingly flexible way to use computing resources. Servers and test benches used to take weeks to order and configure, but thanks to the cloud, you can build up arbitrarily complex farms of computers to do your bidding in a few minutes, from serving a dynamic news app to crunching through a data set to trying out a new technology on the cheap. This course will help you understand the thicket of acronyms and programs that make up Amazon's AWS system and will get you started building servers.",Stadium 4,False
Rifling through the mapping toolbox,2014-02-27,9:00:00 a.m.,2014-02-27,9:50 a.m.,False,"Speakers: Ryan McNeill, Michael Corey - There are many powerful spatial tools at a journalist's disposal. What's the right tool for the job? We'll use real-world examples of the process of transforming a pile of data into a compelling story and visual presentation using a wide variety of tools: ArcGIS, QGIS, PostGIS, TileMill, GDAL, GeoDjango and probably a few more acronyms for good measure.",Salon DEF,False
